1,1
1,2
1,3
1,4
2,5
2,6
2,7
3,8
3,9
3,10
3,11
3,12
4,13
4,14
4,15
4,16
5,17
5,18
6,19
6,20
6,21
6,22
7,23
7,24
7,25
7,26
8,27
8,28
8,29
9,30
9,31
9,32
10,33
10,34
10,35
11,36
11,37
11,38
12,39
12,40
12,41
13,42
14,43
14,44
14,45
15,46
15,47
15,48
16,49
16,50
17,51
17,52
18,53
49,139
18,54
19,55
19,56
20,57
20,58
20,59
20,60
21,61
21,62
22,63
22,64
22,65
23,66
23,67
24,68
24,69
25,70
25,71
26,72
26,73
27,74
27,75
27,76
27,77
28,78
28,79
29,80
29,81
29,82
30,83
30,84
30,85
31,86
31,87
31,88
31,89
32,90
32,91
32,92
32,93
32,94
32,95
33,96
33,97
34,98
35,99
35,100
49,140
49,141
35,101
35,102
35,103
36,104
36,105
36,106
36,107
37,108
37,109
38,110
38,111
38,112
38,113
39,114
39,115
39,116
39,117
40,118
41,119
42,120
42,121
43,122
43,123
44,124
44,125
45,126
46,127
46,128
46,129
47,130
47,131
47,132
47,133
48,134
48,135
48,136
48,137
49,138
50,142
50,143
50,144
50,145
51,146
51,147
51,148
51,149
51,150
51,151
51,152
51,153
52,154
52,155
52,156
